0,seas,trend,resid,actual_values
1973-01-01,109.63787486804235,419.67206814553214,-192.30994301357447,337.0
1973-01-02,119.45926406328623,419.68600479986003,-178.14526886314627,361.0
1973-01-03,123.11779884629682,419.6999414541879,-66.81774030048474,476.0
1973-01-04,127.03208386823702,419.7138781085158,218.25403802324718,765.0
1973-01-05,139.38822935529353,419.7278147628437,439.8839558818627,999.0
1973-01-06,151.33163101181117,419.7417514171716,434.92661757101723,1006.0
1973-01-07,157.07383017170483,419.7556880714995,434.17048175679577,1011.0
1973-01-08,177.36325698978507,419.7696247258274,450.8671182843875,1048.0
1973-01-09,182.1521619552887,419.7835613801553,350.06427666455596,952.0
1973-01-10,190.940805994504,419.79749803448317,218.26169597101284,829.0
1973-01-11,225.18124390195152,419.81143468881106,236.00732140923742,881.0
1973-01-12,251.27928128754647,419.82537134313895,384.89534736931455,1056.0
1973-01-13,246.49656198690525,419.83930799746685,445.66413001562785,1112.0
1973-01-14,242.33360785260453,419.85324465179474,356.81314749560073,1019.0
1973-01-15,232.90868372482697,419.8671813061227,268.22413496905034,921.0
1973-01-16,229.17423578752565,419.8811179604506,264.94464625202374,914.0
1973-01-17,243.6059978958864,419.8950546147785,314.49894748933514,978.0
1973-01-18,247.44258714058114,419.90899126910637,322.6484215903125,990.0
1973-01-19,253.08804787907889,419.92292792343426,319.98902419748686,993.0
1973-01-20,246.5195490611513,419.93686457776215,362.54358636108645,1029.0
1973-01-21,260.2130202367006,419.95080123209004,489.8361785312094,1170.0
1973-01-22,258.50179473906,419.96473788641794,380.5334673745221,1059.0
1973-01-23,243.45690975022572,419.9786745407458,329.5644157090285,993.0
1973-01-24,232.1735381338637,419.9926111950737,294.8338506710625,947.0
1973-01-25,231.8429388593151,420.0065478494016,145.1505132912833,797.0
1973-01-26,254.3931615025748,420.0204845037295,-38.413646006304305,636.0
1973-01-27,256.2298159788416,420.0344211580574,-115.264237136899,561.0
1973-01-28,262.4239394701117,420.0483578123853,-151.47229728249698,531.0
1973-01-29,263.0710962294835,420.0622944667132,-171.13339069619667,512.0
1973-01-30,264.57474353027743,420.0762311210411,-189.6509746513185,495.0
1973-01-31,289.24531842402627,420.09016777536897,-229.33548619939523,480.0
1973-02-01,305.2492918826806,420.10410442969686,-254.35339631237747,471.0
1973-02-02,314.7056462937158,420.11804108402475,-269.82368737774055,465.0
1973-02-03,321.82834121355734,420.13197773835265,-284.96031895191,457.0
1973-02-04,307.73616333496443,420.14591439268054,-274.88207772764497,453.0
1973-02-05,280.7628373807029,420.15985104700843,-254.9226884277113,446.0
1973-02-06,259.02708481195987,420.1737877013363,-243.2008725132962,436.0
1973-02-07,243.60137790531735,420.1877243556642,-226.78910226098156,437.0
1973-02-08,238.81872383624827,420.2016610099921,-203.02038484624038,456.0
1973-02-09,241.32230590547005,420.21559766432006,-144.5379035697901,517.0
1973-02-10,251.13482470006693,420.22953431864795,-48.36435901871488,623.0
1973-02-11,254.13814584300042,420.24347097297584,112.61838318402374,787.0
1973-02-12,259.49874030622095,420.25740762730373,204.2438520664753,884.0
1973-02-13,258.0261318992522,420.2713442816316,182.70252381911615,861.0
1973-02-14,254.2678744381414,420.2852809359595,115.44684462589908,790.0
1973-02-15,246.15188703573895,420.2992175902874,13.548895373973636,680.0
1973-02-16,236.55938299928565,420.3131542446153,-68.87253724390095,588.0
1973-02-17,230.132828082206,420.3270908989432,-75.4599189811492,575.0
1973-02-18,229.4205588794122,420.3410275532711,-1.7615864326832877,648.0
1973-02-19,239.3517991351963,420.354964207599,49.293236657204716,709.0
1973-02-20,252.97390697088906,420.3689008619269,53.657192167184064,727.0
1973-02-21,261.11975909881926,420.38283751625477,79.49740338492597,761.0
1973-02-22,253.86058839569927,420.39677417058266,92.74263743371807,767.0
1973-02-23,258.1016133872956,420.41071082491055,116.48767578779388,795.0
1973-02-24,260.29554118384937,420.42464747923844,195.2798113369122,876.0
1973-02-25,253.37055182449973,420.43858413356634,186.19086404193393,860.0
1973-02-26,242.73114628772026,420.45252078789423,110.8163329243855,774.0
1973-02-27,243.68697884617885,420.4664574422221,18.846563711599032,683.0
1973-02-28,251.52402471187816,420.48039409655,-67.00441880842817,605.0
1973-03-01,257.4092114777731,420.4943307508779,-119.90354222865102,558.0
1973-03-02,266.8659572782409,420.5082674052058,-160.3742246834467,527.0
1973-03-03,266.89387072384886,420.5222040595337,-184.41607478338256,503.0
1973-03-04,258.8741651218378,420.5361407138616,-193.41030583569938,486.0
1973-03-05,251.1166904395919,420.5500773681895,-169.66676780778138,502.0
1973-03-06,246.74016813829834,420.56401402251737,-134.3041821608157,533.0
1973-03-07,248.81622248410204,420.57795067684526,-134.3941731609473,535.0
1973-03-08,251.72502307909033,420.5918873311732,-139.31691041026355,533.0
1973-03-09,252.39566320441128,420.6058239855011,-81.00148718991238,592.0
1973-03-10,260.6853509487799,420.619760639829,-13.305111588608895,668.0
1973-03-11,267.6655148836246,420.6336972941569,-34.2992121777815,654.0
1973-03-12,278.55044072323125,420.6476339484848,-122.19807467171603,577.0
1973-03-13,291.8637422966931,420.6615706028127,-198.52531289950576,514.0
1973-03-14,292.65356050420587,420.67550725714057,-237.32906776134644,476.0
1973-03-15,283.2529677528145,420.68944391146846,-253.942411664283,450.0
1973-03-16,289.4476783282333,420.70338056579635,-277.15105889402963,433.0
1973-03-17,303.71368701193654,420.71731722012424,-304.4310042320608,420.0
1973-03-18,312.67049804397635,420.73125387445214,-325.4017519184285,408.0
1973-03-19,298.67512381835144,420.74519052878003,-323.42031434713147,396.0
1973-03-20,305.96565957315704,420.7591271831079,-339.72478675626496,387.0
1973-03-21,309.58959389286815,420.7730638374358,-411.36265773030397,319.0
1973-03-22,299.0718452380195,420.7870004917637,-396.8588457297832,323.0
1973-03-23,294.6257860808878,420.8009371460916,-394.4267232269794,321.0
1973-03-24,292.1801183131885,420.8148738004195,-396.99499211360796,316.0
1973-03-25,294.8547375644064,420.8288104547474,-404.68354801915376,311.0
1973-03-26,296.3892393987945,420.8427471090753,-412.23198650786975,305.0
1973-03-27,310.61760946540704,420.85668376340317,-429.4742932288102,302.0
1973-03-28,304.422104776638,420.87062041773106,-420.29272519436904,305.0
1973-03-29,286.4434950650379,420.88455707205895,-396.32805213709685,311.0
1973-03-30,264.74838176570125,420.89849372638685,-372.6468754920881,313.0
1973-03-31,255.07622997973726,420.91243038071474,-365.988660360452,310.0
1973-04-01,245.6910318793569,420.92636703504263,-360.61739891439953,306.0
1973-04-02,243.9706739616251,420.9403036893706,-361.9109776509957,303.0
1973-04-03,236.70028342810713,420.9542403436985,-344.6545237718056,313.0
1973-04-04,224.1899059409036,420.96817699802637,-312.15808293892997,333.0
1973-04-05,215.17913706426762,420.98211365235426,-270.1612507166219,366.0
1973-04-06,208.0478854739983,420.99605030668215,-208.04393578068044,421.0
1973-04-07,211.79556408594675,421.00998696101004,-103.8055510469568,529.0
1973-04-08,203.73208809906936,421.02392361533794,40.24398828559271,665.0
1973-04-09,200.23906221003944,421.0378602696658,79.72307752029474,701.0
1973-04-10,198.88824114814588,421.0517969239937,58.0599619278604,678.0
1973-04-11,200.18014676596513,421.0657335783216,53.754119655713254,675.0
1973-04-12,211.5445246603663,421.0796702326495,37.37580510698419,670.0
1973-04-13,212.62507998464355,421.0936068869774,38.281313128379054,672.0
